DATE,TRADING CODE,LTP*,HIGH,LOW,OPENP*,CLOSEP*,YCP,TRADE,VALUE (mn),VOLUME
2020-03-25,RENATA,1026.2,1026.2,1026.2,1026.2,1026.2,1026.2,109,69.81,68028
2020-03-24,RENATA,1026.2,1026.2,1026.2,1026.2,1026.2,1026.2,71,31.929000000000002,31114
2020-03-23,RENATA,1026.2,1026.2,1026.2,1026.2,1026.2,1026.2,108,34.128,33257
2020-03-22,RENATA,1026.2,1046.5,1026.2,1031.0,1026.2,1034.2,52,12.321,12006
2020-03-19,RENATA,1031.0,1036.8,1030.0,1036.8,1034.2,982.8,28,1.8980000000000001,1835
2020-03-18,RENATA,976.2,1012.0,972.0,1012.0,982.8,1006.9,780,26.206,26614
2020-03-16,RENATA,1005.0,1039.8,1000.0,1039.8,1006.9,1038.4,486,16.625999999999998,16397
2020-03-15,RENATA,1031.0,1045.0,1021.2,1037.0,1038.4,1052.5,317,12.869000000000002,12425
2020-03-12,RENATA,1052.1,1063.0,1040.0,1050.2,1052.5,1050.2,263,8.288,7928
2020-03-11,RENATA,1046.3,1060.5,1032.0,1032.6,1050.2,1044.0,224,5.696000000000001,5444
2020-03-10,RENATA,1041.0,1050.0,1015.0,1021.3,1044.0,1021.3,281,6.938,6717
2020-03-09,RENATA,1015.0,1060.0,1015.0,1060.0,1021.3,1062.4,535,15.734000000000002,15255
2020-03-08,RENATA,1071.0,1080.1,1055.1,1080.1,1062.4,1082.9,316,11.424000000000001,10715
2020-03-05,RENATA,1085.0,1088.0,1078.0,1088.0,1082.9,1090.2,239,4.698,4348
2020-03-04,RENATA,1098.0,1098.0,1075.1,1091.0,1090.2,1084.5,201,5.006,4614
2020-03-03,RENATA,1085.0,1085.0,1073.0,1073.0,1084.5,1074.7,201,5.122999999999999,4746
2020-03-02,RENATA,1076.0,1100.0,1067.3,1100.0,1074.7,1071.5,211,5.125,4773
2020-03-01,RENATA,1080.0,1094.9,1060.9,1085.0,1071.5,1089.7,266,7.7139999999999995,7216
2020-02-27,RENATA,1090.0,1099.9,1086.1,1090.3,1089.7,1094.1,162,6.257000000000001,5736
2020-02-26,RENATA,1093.5,1105.0,1091.1,1105.0,1094.1,1104.2,218,5.593999999999999,5108
2020-02-25,RENATA,1103.1,1113.9,1100.1,1100.2,1104.2,1108.6,110,4.47,4047
2020-02-24,RENATA,1109.5,1115.8,1100.0,1100.0,1108.6,1107.7,130,4.563,4108
2020-02-23,RENATA,1106.1,1114.0,1105.0,1114.0,1107.7,1105.6,167,7.183,6491
2020-02-20,RENATA,1104.0,1113.8,1102.0,1111.0,1105.6,1110.8,221,8.349,7546
2020-02-19,RENATA,1107.0,1115.0,1100.0,1108.0,1110.8,1114.3,346,16.469,14867
2020-02-18,RENATA,1112.0,1119.8,1112.0,1115.2,1114.3,1117.6,298,14.554,13052
2020-02-17,RENATA,1111.0,1120.0,1110.0,1116.9,1117.6,1112.1,310,12.689,11378
2020-02-16,RENATA,1115.0,1115.0,1091.0,1100.0,1112.1,1090.6,349,13.619000000000002,12293
2020-02-13,RENATA,1090.0,1104.0,1090.0,1103.9,1090.6,1095.4,268,10.745999999999999,9817
2020-02-12,RENATA,1096.7,1099.0,1089.3,1092.4,1095.4,1094.7,341,7.7410000000000005,7093
2020-02-11,RENATA,1098.6,1124.0,1089.0,1099.0,1094.7,1089.2,241,6.8660000000000005,6245
2020-02-10,RENATA,1096.0,1096.0,1080.1,1080.2,1089.2,1082.0,216,4.177,3853
2020-02-05,RENATA,1096.0,1105.0,1090.0,1091.1,1094.0,1100.4,358,7.747999999999999,7090
